Date,SPI3
Jan-88,-0.9710186187
Feb-88,-1.324956599
Mar-88,-0.1987312296
Apr-88,-0.04423104428
May-88,-0.1998123445
Jun-88,-0.8712341975
Jul-88,-0.2381288383
Aug-88,-0.6507684389
Sep-88,0.2664112946
Oct-88,0.2350890854
Nov-88,1.124393777
Dec-88,-0.4531895424
Jan-89,0.6415222775
Feb-89,0.2540148185
Mar-89,0.2659473089
Apr-89,-0.8750610615
May-89,-1.120934876
Jun-89,-0.5401928247
Jul-89,0.2159375047
Aug-89,0.3334933193
Sep-89,0.2898799744
Oct-89,-0.04559566677
Nov-89,-0.1377879897
Dec-89,0.6118940689
Jan-90,0.4766635035
Feb-90,1.849039282
Mar-90,1.377808571
Apr-90,1.600222916
May-90,-0.167556524
Jun-90,-0.3594666048
Jul-90,-0.6946337967
Aug-90,0.08400448185
Sep-90,0.3885341656
Oct-90,0.7363868525
Nov-90,0.3624562436
Dec-90,-0.1708871289
Jan-91,-0.6478798956
Feb-91,0.1999968671
Mar-91,-0.07280271016
Apr-91,1.476885078
May-91,1.314385378
Jun-91,0.7461772668
Jul-91,-1.121804595
Aug-91,-1.452166838
Sep-91,-1.5756877
Oct-91,-0.9759259021
Nov-91,-1.350440701
Dec-91,0.04917724437
Jan-92,0.9213098952
Feb-92,0.8800583191
Mar-92,0.5888577253
Apr-92,-0.2441520973
May-92,-0.5030331638
Jun-92,-1.222797919
Jul-92,-0.04360483299
Aug-92,0.5751141476
Sep-92,1.364676776
Oct-92,1.391417384
Nov-92,1.385766949
Dec-92,-0.4308456906
Jan-93,-0.3942688287
Feb-93,-0.03537926745
Mar-93,-0.05667480195
Apr-93,-0.08360761926
May-93,-0.1000003973
Jun-93,0.2914503008
Jul-93,-0.1004833073
Aug-93,-1.007920016
Sep-93,-0.8531946095
Oct-93,-0.8976749867
Nov-93,0.2762409765
Dec-93,-0.4023782179
Jan-94,0.05274730172
Feb-94,0.2641490745
Mar-94,0.2794616997
Apr-94,0.008838825688
May-94,-0.5439932367
Jun-94,-0.2317687474
Jul-94,1.262650435
Aug-94,1.021799586
Sep-94,1.150334164
Oct-94,0.195199176
Nov-94,0.5912450467
Dec-94,-0.219400319
Jan-95,0.8582865685
Feb-95,1.187163333
Mar-95,1.081983112
Apr-95,0.4701286352
May-95,-0.8052312259
Jun-95,-1.028279386
Jul-95,1.250842714
Aug-95,1.341092518
Sep-95,1.209344044
Oct-95,0.2808131176
Nov-95,-0.1596377383
Dec-95,0.676897086
Jan-96,-0.307051769
Feb-96,0.01941173716
Mar-96,0.5962754264
Apr-96,0.4754625424
May-96,0.7750215418
Jun-96,3.650042214
Jul-96,2.58163586
Aug-96,2.038607424
Sep-96,-1.131546095
Oct-96,-0.6845685848
Nov-96,-0.7449810992
Dec-96,0.001209971437
Jan-97,-0.5401497111
Feb-97,-0.8184973209
Mar-97,0.2792715056
Apr-97,0.4535530259
May-97,1.288872578
Jun-97,1.289947679
Jul-97,0.6103368455
Aug-97,0.2227922159
Sep-97,-0.3222690195
Oct-97,0.9150534722
Nov-97,1.55246289
Dec-97,2.370295471
Jan-98,0.5130815427
Feb-98,0.7267505097
Mar-98,0.5627840606
Apr-98,0.902388341
May-98,-0.07744400212
Jun-98,0.8466149766
Jul-98,0.1235622271
Aug-98,-0.3652264069
Sep-98,-0.4198995546
Oct-98,1.085938294
Nov-98,2.06078879
Dec-98,2.385073511
Jan-99,0.03037567463
Feb-99,-0.2266384909
Mar-99,-0.3901343849
Apr-99,-1.541325857
May-99,1.990591605
Jun-99,1.175797286
Jul-99,1.101323474
Aug-99,-0.5621939949
Sep-99,-0.5219892702
Oct-99,-1.495434052
Nov-99,-0.8577439547
Dec-99,-0.5076209332
Jan-00,-1.081690744
Feb-00,-1.03738592
Mar-00,-1.17734218
Apr-00,-0.9879991717
May-00,-1.049188962
Jun-00,-1.156733482
Jul-00,0.6978432615
Aug-00,0.05836689691
Sep-00,0.0191297169
Oct-00,-1.907433018
Nov-00,-1.215561675
Dec-00,0.04667492249
Jan-01,-0.5698376689
Feb-01,-0.907537621
Mar-01,-1.35704177
Apr-01,-0.05920281639
May-01,0.2419043953
Jun-01,0.589037883
Jul-01,0.3763046304
Aug-01,0.4161324581
Sep-01,-0.02070818539
Oct-01,-0.16858501
Nov-01,-1.283038378
Dec-01,-0.3079697778
Jan-02,-2.099489963
Feb-02,-1.749350034
Mar-02,-0.926593722
Apr-02,-0.5753008831
May-02,0.957888674
Jun-02,0.1810636003
Jul-02,-1.463436496
Aug-02,-3.443321095
Sep-02,-3.051829927
Oct-02,-1.688378914
Nov-02,-0.5071710384
Dec-02,0.2369719743
Jan-03,0.7053272316
Feb-03,1.167707803
Mar-03,0.9216936554
Apr-03,0.5014562679
May-03,-1.188620581
Jun-03,-0.1382636029
Jul-03,0.5267627915
Aug-03,0.683668451
Sep-03,0.4908916872
Oct-03,0.1082702778
Nov-03,-0.5000306643
Dec-03,-1.400145994
Jan-04,0.1621509188
Feb-04,-0.2373830621
Mar-04,-0.4303667857
Apr-04,-0.8177541566
May-04,-0.8061652131
Jun-04,-0.668526302
Jul-04,-2.073569322
Aug-04,-1.134500277
Sep-04,-1.131614352
Oct-04,-0.1694181051
Nov-04,-0.7297960557
Dec-04,0.7984677289
Jan-05,0.5239392881
Feb-05,1.296236242
Mar-05,0.9461965356
Apr-05,1.118711187
May-05,0.2359027021
Jun-05,0.03999723938
Jul-05,-0.3353234004
Aug-05,-1.075934116
Sep-05,-0.6708596833
Oct-05,-0.6174529876
Nov-05,0.4511778684
Dec-05,-0.5671159821
Jan-06,-1.31815638
Feb-06,-2.187748754
